CD	CD	0.00813175950731
<LEFTPAR>	<RIGHTPAR>	0.00509630991251
IN	<PERIOD>	0.00494407100152
NN	<PERIOD>	0.00476571363012
VB	<PERIOD>	0.0035144828314
NNS	<PERIOD>	0.00349975603553
VBZ	VBD	0.00349198806908
JJ	<PERIOD>	0.00333002864406
TO	<PERIOD>	0.00322068310067
DT	<PERIOD>	0.00321222116443
VBD	VBZ	0.00305595155558
NNP	NNP	0.00302605641281
CC	<PERIOD>	0.00288426133881
<COMMA>	<PERIOD>	0.00254962487409
RB	<PERIOD>	0.00242149723305
<COLON>	<COLON>	0.00227457584879
VBP	VBD	0.00210424643194
VBD	VBP	0.00205993914887
VB	VBD	0.00192821588065
VBD	CD	0.00192128614183
VBN	<PERIOD>	0.00188903487687
VBD	<PERIOD>	0.00175297427125
NNS	VBZ	0.00165888847406
MD	VBD	0.00154664851188
CD	<PERIOD>	0.00154416355132
VBG	<PERIOD>	0.00149174127726
VBP	CD	0.00145623185437
VBZ	CD	0.00142787406669
PRP	CD	0.00134946543805
NN	VBD	0.00131005515058
NNS	VBD	0.0013008696731
PRP	PRP	0.00129130001832
VBZ	<PERIOD>	0.00126477722835
NNP	VBP	0.00123399887067
TO	VBD	0.00116842458445
CD	VBZ	0.00112947070863
MD	<PERIOD>	0.00112515392768
CD	VB	0.00108231104098
VBP	<PERIOD>	0.00100423921922
VB	CD	0.000974484804099
RB	CD	0.00094231326354
PRP	VBD	0.000931077395805
PRP	VB	0.000919817751921
PRP$	<PERIOD>	0.000895523703632
VBN	VBD	0.000866617482842
NNS	NNS	0.000863111418026
JJ	VBD	0.000845104100048
DT	VBD	0.000833995104905
RB	VBD	0.000825123957261
IN	VBD	0.000813824892305
PRP	<PERIOD>	0.000801881655886
NN	VBP	0.000703993877475
NNP	<PERIOD>	0.000694594374923
NNP	RB	0.000659107360667
IN	CC	0.00063288537559
NNP	VBZ	0.000631338998119
CD	VBP	0.000621551345853
NN	<COMMA>	0.000620751508765
VBG	VBD	0.000611069412386
DT	<COMMA>	0.00059056032985
VBD	IN	0.000588201485066
VBN	VBZ	0.000574230676185
POS	<PERIOD>	0.000565900210808
VBG	CD	0.000560930388645
IN	VBZ	0.00055759558326
<COLON>	CD	0.000546169826291
